model,activity,score
BAAI/AltCLIP,baking_a_cake,0.5714285714285714
BAAI/AltCLIP,customizing_a_motorcycle,0.6153846153846154
BAAI/AltCLIP,designing_a_building,0.7647058823529411
BAAI/AltCLIP,designing_dress,0.25
BAAI/AltCLIP,diving_from_a_high_board,0.15384615384615385
BAAI/AltCLIP,doing_basket_weaving,0.5384615384615384
BAAI/AltCLIP,doing_professional_makeup,0.5
BAAI/AltCLIP,having_face_mask,0.2
BAAI/AltCLIP,knitting_colorful_scarves,0.4117647058823529
BAAI/AltCLIP,playing_acoustic_guitar,0.6842105263157895
BAAI/AltCLIP,programming_new_software,0.38461538461538464
BAAI/AltCLIP,repairing_electronics,0.2
BAAI/AltCLIP,skating_in_a_roller_derby,0.3076923076923077
BAAI/AltCLIP,spinning_pottery,0.38461538461538464
BAAI/AltCLIP,tuning_a_guitar,0.5263157894736842
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,0.2857142857142857
EVA01-g-14 laion400m_s11b_b41k,customizing_a_motorcycle,0.7692307692307693
EVA01-g-14 laion400m_s11b_b41k,designing_a_building,0.5294117647058824
EVA01-g-14 laion400m_s11b_b41k,designing_dress,0.1875
EVA01-g-14 laion400m_s11b_b41k,diving_from_a_high_board,0.15384615384615385
EVA01-g-14 laion400m_s11b_b41k,doing_basket_weaving,0.3076923076923077
EVA01-g-14 laion400m_s11b_b41k,doing_professional_makeup,0.35714285714285715
EVA01-g-14 laion400m_s11b_b41k,having_face_mask,0.25
EVA01-g-14 laion400m_s11b_b41k,knitting_colorful_scarves,0.4117647058823529
EVA01-g-14 laion400m_s11b_b41k,playing_acoustic_guitar,0.42105263157894735
EVA01-g-14 laion400m_s11b_b41k,programming_new_software,0.38461538461538464
EVA01-g-14 laion400m_s11b_b41k,repairing_electronics,0.5
EVA01-g-14 laion400m_s11b_b41k,skating_in_a_roller_derby,0.3076923076923077
EVA01-g-14 laion400m_s11b_b41k,spinning_pottery,0.46153846153846156
EVA01-g-14 laion400m_s11b_b41k,tuning_a_guitar,0.3684210526315789
EVA01-g-14-plus merged2b_s11b_b114k,baking_a_cake,0.42857142857142855
EVA01-g-14-plus merged2b_s11b_b114k,customizing_a_motorcycle,0.6923076923076923
EVA01-g-14-plus merged2b_s11b_b114k,designing_a_building,0.7647058823529411
EVA01-g-14-plus merged2b_s11b_b114k,designing_dress,0.25
EVA01-g-14-plus merged2b_s11b_b114k,diving_from_a_high_board,0.23076923076923078
EVA01-g-14-plus merged2b_s11b_b114k,doing_basket_weaving,0.38461538461538464
EVA01-g-14-plus merged2b_s11b_b114k,doing_professional_makeup,0.42857142857142855
EVA01-g-14-plus merged2b_s11b_b114k,having_face_mask,0.15
