model,activity,score
BAAI/AltCLIP,baking bread,0.5454545454545454
BAAI/AltCLIP,beading earrings,0.45
BAAI/AltCLIP,catching fish,0.8333333333333334
BAAI/AltCLIP,choosing dress,0.6
BAAI/AltCLIP,climbing tree,0.3
BAAI/AltCLIP,drinking beer,0.23076923076923078
BAAI/AltCLIP,holding baby,0.6923076923076923
BAAI/AltCLIP,holding gun,0.4
BAAI/AltCLIP,leading team,0.5454545454545454
BAAI/AltCLIP,picking flower,0.08333333333333333
EVA01-g-14 laion400m_s11b_b41k,baking bread,0.6363636363636364
EVA01-g-14 laion400m_s11b_b41k,beading earrings,0.5
EVA01-g-14 laion400m_s11b_b41k,catching fish,0.8333333333333334
EVA01-g-14 laion400m_s11b_b41k,choosing dress,0.7
EVA01-g-14 laion400m_s11b_b41k,climbing tree,0.5
EVA01-g-14 laion400m_s11b_b41k,drinking beer,0.3076923076923077
EVA01-g-14 laion400m_s11b_b41k,holding baby,0.6153846153846154
EVA01-g-14 laion400m_s11b_b41k,holding gun,0.4
EVA01-g-14 laion400m_s11b_b41k,leading team,0.7272727272727273
EVA01-g-14 laion400m_s11b_b41k,picking flower,0.4166666666666667
EVA01-g-14-plus merged2b_s11b_b114k,baking bread,0.6363636363636364
EVA01-g-14-plus merged2b_s11b_b114k,beading earrings,0.4
EVA01-g-14-plus merged2b_s11b_b114k,catching fish,0.8333333333333334
EVA01-g-14-plus merged2b_s11b_b114k,choosing dress,0.6
EVA01-g-14-plus merged2b_s11b_b114k,climbing tree,0.3
EVA01-g-14-plus merged2b_s11b_b114k,drinking beer,0.15384615384615385
EVA01-g-14-plus merged2b_s11b_b114k,holding baby,0.3076923076923077
EVA01-g-14-plus merged2b_s11b_b114k,holding gun,0.5
EVA01-g-14-plus merged2b_s11b_b114k,leading team,0.9090909090909091
EVA01-g-14-plus merged2b_s11b_b114k,picking flower,0.75
EVA02-B-16 merged2b_s8b_b131k,baking bread,0.5454545454545454
EVA02-B-16 merged2b_s8b_b131k,beading earrings,0.4
EVA02-B-16 merged2b_s8b_b131k,catching fish,0.8333333333333334
EVA02-B-16 merged2b_s8b_b131k,choosing dress,0.9
EVA02-B-16 merged2b_s8b_b131k,climbing tree,0.4
EVA02-B-16 merged2b_s8b_b131k,drinking beer,0.38461538461538464
EVA02-B-16 merged2b_s8b_b131k,holding baby,0.23076923076923078
EVA02-B-16 merged2b_s8b_b131k,holding gun,0.7
EVA02-B-16 merged2b_s8b_b131k,leading team,0.9090909090909091
EVA02-B-16 merged2b_s8b_b131k,picking flower,0.4166666666666667
EVA02-L-14 merged2b_s4b_b131k,baking bread,0.7272727272727273
EVA02-L-14 merged2b_s4b_b131k,beading earrings,0.55
EVA02-L-14 merged2b_s4b_b131k,catching fish,0.6666666666666666
EVA02-L-14 merged2b_s4b_b131k,choosing dress,0.6
EVA02-L-14 merged2b_s4b_b131k,climbing tree,0.3
EVA02-L-14 merged2b_s4b_b131k,drinking beer,0.38461538461538464
EVA02-L-14 merged2b_s4b_b131k,holding baby,0.6153846153846154
EVA02-L-14 merged2b_s4b_b131k,holding gun,0.8
EVA02-L-14 merged2b_s4b_b131k,leading team,0.6363636363636364
EVA02-L-14 merged2b_s4b_b131k,picking flower,0.8333333333333334
EVA02-L-14-336 merged2b_s6b_b61k,baking bread,0.7272727272727273
EVA02-L-14-336 merged2b_s6b_b61k,beading earrings,0.55
EVA02-L-14-336 merged2b_s6b_b61k,catching fish,0.75
EVA02-L-14-336 merged2b_s6b_b61k,choosing dress,0.7
EVA02-L-14-336 merged2b_s6b_b61k,climbing tree,0.3
EVA02-L-14-336 merged2b_s6b_b61k,drinking beer,0.15384615384615385
EVA02-L-14-336 merged2b_s6b_b61k,holding baby,0.46153846153846156
EVA02-L-14-336 merged2b_s6b_b61k,holding gun,0.7
EVA02-L-14-336 merged2b_s6b_b61k,leading team,0.9090909090909091
