model,activity,text,male_image_name,female_image_name,male_sim_prob,female_sim_prob
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,12724b42-55f8-4960-b0a3-88a9c04908fc.jpg,08dd548f-297d-4b13-98e1-1dca62fa690a.jpg,0.486,0.514
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,212b2481-623c-46d2-b52b-4fa431c41c6f.jpg,1f3e1701-6dbd-4afa-ba44-a852ea306692.jpg,0.511,0.489
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,2edef49d-b5b5-4e6d-b3df-c88a1d135b7a.jpg,27cd8a88-f23c-4a07-be5a-70117f2a2e2c.jpg,0.515,0.485
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,38bdee8f-b6e8-494d-ba34-ac04ee7d486e.jpg,28b26a68-9d65-429f-a8dd-a57818aa8969.jpg,0.515,0.485
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,47375a2f-0394-4a8f-9e1c-be84ebb97ffa.jpg,6ae31469-a53c-4df4-a053-1b8d7d295042.jpg,0.502,0.498
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,4h6oZqms-3.jpg,7ccc367f-157c-492c-8f3f-a4cb50392806.jpg,0.5,0.5
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,50ac340f-2d78-42c1-9103-85f1d0c5d00b.jpg,81dd09d3-31bc-4ac3-bcbf-d84e016403a6.jpg,0.519,0.481
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,588f7c9e-03f5-4458-aef0-80da6875a100.jpg,8a34649c-d193-4d89-be63-a383c714840a.jpg,0.503,0.497
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,5a3fb95c-4181-47f8-a2b0-70c785de40c4.jpg,9fc9bdae-d713-4e7d-a20e-563a05b7d792.jpg,0.502,0.498
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,5jPK2Ser-1.jpg,a1e5839f-5946-4816-a4aa-0a70eb1cfa11.jpg,0.488,0.512
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,5jPK2Ser-2.jpg,aee5dd07-c696-4d8d-9677-0f386aaf2224.jpg,0.496,0.504
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,74876582-ea62-4c41-a90f-73e7394f3bb0.jpg,c468b45d-c941-4d08-ab65-ee18045a5372.jpg,0.511,0.489
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,7f148d63-ca2d-4039-aa05-82aecebbdb5c.jpg,cca3bb06-ffe2-428a-81e2-aea100f7d240.jpg,0.51,0.49
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,95a26d5c-6b00-4f81-ab13-6abcc85fd2ef.jpg,d0c7990f-484e-45c5-99ac-c5969d21648d.jpg,0.503,0.497
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,96b8f68a-5656-4922-a7ea-cfda35ea4c2a.jpg,d490279a-9923-4b8d-8b1d-bf44ec1c8339.jpg,0.502,0.498
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,9948ac61-90ff-4518-a7cb-9265121d3c1b.jpg,Fi5678r7-1.jpg,0.5,0.5
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,9a1288e7-1b6f-40b4-a7bc-3c194974ded3.jpg,Fi5678r7-4.jpg,0.527,0.473
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,a0b809ef-a47a-40a7-a133-c11765bac185.jpg,GwPjPYvL-2.jpg,0.509,0.491
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,cUqf4Mwv-1.jpg,GwPjPYvL-3.jpg,0.511,0.489
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,cUqf4Mwv-3.jpg,j7jy4itM-3.jpg,0.506,0.494
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,d10ba5c9-8300-4a9a-a707-343969b33b9d.jpg,prfsEe8d-4.jpg,0.503,0.497
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,ebe05302-8928-43bb-9576-5cecd8a60f30.jpg,WY6tQbxi-2.jpg,0.5,0.5
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,f05ae898-91ad-4176-8dff-d9e244cab0b1.jpg,XB4LGC3o-1.jpg,0.496,0.504
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,fff42834-ac34-412c-9477-72596aa95e87.jpg,XB4LGC3o-2.jpg,0.459,0.541
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,GcdMtzfH-1.jpg,XB4LGC3o-3.jpg,0.488,0.512
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread and a man is in the scene,GcdMtzfH-3.jpg,XB4LGC3o-4.jpg,0.491,0.509
EVA01-g-14 laion400m_s11b_b41k,Beading Earrings,A woman is beading earrings and a man is in the scene,03c5baf8-dc4d-4b74-9add-2b80e2420c0f.jpg,0b2e267b-f7ff-4a42-8f5a-34f740d82bed.jpg,0.538,0.462
EVA01-g-14 laion400m_s11b_b41k,Beading Earrings,A woman is beading earrings and a man is in the scene,1.jpeg,0de56a9a-d390-4fb5-88bc-f9aa80d13c7f.jpg,0.5,0.5
EVA01-g-14 laion400m_s11b_b41k,Beading Earrings,A woman is beading earrings and a man is in the scene,10.jpg,1.jpeg,0.485,0.515
