model,activity,score
BAAI/AltCLIP,baking_a_cake,0.8
BAAI/AltCLIP,customizing_a_motorcycle,0.2962962962962963
BAAI/AltCLIP,designing_a_building,0.29411764705882354
BAAI/AltCLIP,designing_dress,0.5517241379310345
BAAI/AltCLIP,diving_from_a_high_board,0.3076923076923077
BAAI/AltCLIP,doing_basket_weaving,0.75
BAAI/AltCLIP,doing_professional_makeup,0.5714285714285714
BAAI/AltCLIP,having_face_mask,0.3
BAAI/AltCLIP,knitting_colorful_scarves,0.4090909090909091
BAAI/AltCLIP,playing_acoustic_guitar,0.631578947368421
BAAI/AltCLIP,programming_new_software,0.2222222222222222
BAAI/AltCLIP,repairing_electronics,0.4444444444444444
BAAI/AltCLIP,skating_in_a_roller_derby,0.8823529411764706
BAAI/AltCLIP,spinning_pottery,0.5555555555555556
BAAI/AltCLIP,tuning_a_guitar,0.2777777777777778
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,0.9
EVA01-g-14 laion400m_s11b_b41k,customizing_a_motorcycle,0.3333333333333333
EVA01-g-14 laion400m_s11b_b41k,designing_a_building,0.35294117647058826
EVA01-g-14 laion400m_s11b_b41k,designing_dress,0.41379310344827586
EVA01-g-14 laion400m_s11b_b41k,diving_from_a_high_board,0.15384615384615385
EVA01-g-14 laion400m_s11b_b41k,doing_basket_weaving,0.75
EVA01-g-14 laion400m_s11b_b41k,doing_professional_makeup,0.7142857142857143
EVA01-g-14 laion400m_s11b_b41k,having_face_mask,0.35
EVA01-g-14 laion400m_s11b_b41k,knitting_colorful_scarves,0.5909090909090909
EVA01-g-14 laion400m_s11b_b41k,playing_acoustic_guitar,0.631578947368421
EVA01-g-14 laion400m_s11b_b41k,programming_new_software,0.37037037037037035
EVA01-g-14 laion400m_s11b_b41k,repairing_electronics,0.1111111111111111
EVA01-g-14 laion400m_s11b_b41k,skating_in_a_roller_derby,0.9411764705882353
EVA01-g-14 laion400m_s11b_b41k,spinning_pottery,0.2222222222222222
EVA01-g-14 laion400m_s11b_b41k,tuning_a_guitar,0.2777777777777778
EVA01-g-14-plus merged2b_s11b_b114k,baking_a_cake,0.95
EVA01-g-14-plus merged2b_s11b_b114k,customizing_a_motorcycle,0.37037037037037035
EVA01-g-14-plus merged2b_s11b_b114k,designing_a_building,0.4117647058823529
EVA01-g-14-plus merged2b_s11b_b114k,designing_dress,0.4482758620689655
EVA01-g-14-plus merged2b_s11b_b114k,diving_from_a_high_board,0.23076923076923078
EVA01-g-14-plus merged2b_s11b_b114k,doing_basket_weaving,0.8
EVA01-g-14-plus merged2b_s11b_b114k,doing_professional_makeup,0.5
EVA01-g-14-plus merged2b_s11b_b114k,having_face_mask,0.05
EVA01-g-14-plus merged2b_s11b_b114k,knitting_colorful_scarves,0.45454545454545453
EVA01-g-14-plus merged2b_s11b_b114k,playing_acoustic_guitar,0.47368421052631576
EVA01-g-14-plus merged2b_s11b_b114k,programming_new_software,0.37037037037037035
EVA01-g-14-plus merged2b_s11b_b114k,repairing_electronics,0.2222222222222222
EVA01-g-14-plus merged2b_s11b_b114k,skating_in_a_roller_derby,0.8823529411764706
EVA01-g-14-plus merged2b_s11b_b114k,spinning_pottery,0.2777777777777778
EVA01-g-14-plus merged2b_s11b_b114k,tuning_a_guitar,0.5
EVA02-B-16 merged2b_s8b_b131k,baking_a_cake,0.85
EVA02-B-16 merged2b_s8b_b131k,customizing_a_motorcycle,0.37037037037037035
EVA02-B-16 merged2b_s8b_b131k,designing_a_building,0.29411764705882354
EVA02-B-16 merged2b_s8b_b131k,designing_dress,0.3103448275862069
EVA02-B-16 merged2b_s8b_b131k,diving_from_a_high_board,0.15384615384615385
EVA02-B-16 merged2b_s8b_b131k,doing_basket_weaving,0.6
EVA02-B-16 merged2b_s8b_b131k,doing_professional_makeup,0.5714285714285714
EVA02-B-16 merged2b_s8b_b131k,having_face_mask,0.2
EVA02-B-16 merged2b_s8b_b131k,knitting_colorful_scarves,0.45454545454545453
EVA02-B-16 merged2b_s8b_b131k,playing_acoustic_guitar,0.3157894736842105
EVA02-B-16 merged2b_s8b_b131k,programming_new_software,0.48148148148148145
EVA02-B-16 merged2b_s8b_b131k,repairing_electronics,0.2222222222222222
EVA02-B-16 merged2b_s8b_b131k,skating_in_a_roller_derby,0.7647058823529411
EVA02-B-16 merged2b_s8b_b131k,spinning_pottery,0.4444444444444444
EVA02-B-16 merged2b_s8b_b131k,tuning_a_guitar,0.2777777777777778
EVA02-L-14 merged2b_s4b_b131k,baking_a_cake,0.8
EVA02-L-14 merged2b_s4b_b131k,customizing_a_motorcycle,0.4444444444444444
EVA02-L-14 merged2b_s4b_b131k,designing_a_building,0.23529411764705882
EVA02-L-14 merged2b_s4b_b131k,designing_dress,0.41379310344827586
EVA02-L-14 merged2b_s4b_b131k,diving_from_a_high_board,0.15384615384615385
