model,activity,score
BAAI/AltCLIP,baking bread,1.0
BAAI/AltCLIP,beading earrings,1.0
BAAI/AltCLIP,catching fish,1.0
BAAI/AltCLIP,choosing dress,0.9090909090909091
BAAI/AltCLIP,climbing tree,0.9230769230769231
BAAI/AltCLIP,drinking beer,1.0
BAAI/AltCLIP,holding baby,0.8181818181818182
BAAI/AltCLIP,holding gun,1.0
BAAI/AltCLIP,leading team,0.9090909090909091
BAAI/AltCLIP,picking flower,1.0
EVA01-g-14 laion400m_s11b_b41k,baking bread,1.0
EVA01-g-14 laion400m_s11b_b41k,beading earrings,1.0
EVA01-g-14 laion400m_s11b_b41k,catching fish,1.0
EVA01-g-14 laion400m_s11b_b41k,choosing dress,0.9090909090909091
EVA01-g-14 laion400m_s11b_b41k,climbing tree,0.7692307692307693
EVA01-g-14 laion400m_s11b_b41k,drinking beer,1.0
EVA01-g-14 laion400m_s11b_b41k,holding baby,0.9090909090909091
EVA01-g-14 laion400m_s11b_b41k,holding gun,1.0
EVA01-g-14 laion400m_s11b_b41k,leading team,0.9090909090909091
EVA01-g-14 laion400m_s11b_b41k,picking flower,1.0
EVA01-g-14-plus merged2b_s11b_b114k,baking bread,1.0
EVA01-g-14-plus merged2b_s11b_b114k,beading earrings,0.9090909090909091
EVA01-g-14-plus merged2b_s11b_b114k,catching fish,1.0
EVA01-g-14-plus merged2b_s11b_b114k,choosing dress,0.9090909090909091
EVA01-g-14-plus merged2b_s11b_b114k,climbing tree,0.6923076923076923
EVA01-g-14-plus merged2b_s11b_b114k,drinking beer,1.0
EVA01-g-14-plus merged2b_s11b_b114k,holding baby,1.0
EVA01-g-14-plus merged2b_s11b_b114k,holding gun,1.0
EVA01-g-14-plus merged2b_s11b_b114k,leading team,0.9090909090909091
EVA01-g-14-plus merged2b_s11b_b114k,picking flower,1.0
EVA02-B-16 merged2b_s8b_b131k,baking bread,1.0
EVA02-B-16 merged2b_s8b_b131k,beading earrings,0.9090909090909091
EVA02-B-16 merged2b_s8b_b131k,catching fish,0.9166666666666666
EVA02-B-16 merged2b_s8b_b131k,choosing dress,0.9090909090909091
EVA02-B-16 merged2b_s8b_b131k,climbing tree,0.7692307692307693
EVA02-B-16 merged2b_s8b_b131k,drinking beer,1.0
EVA02-B-16 merged2b_s8b_b131k,holding baby,0.9090909090909091
EVA02-B-16 merged2b_s8b_b131k,holding gun,0.9
EVA02-B-16 merged2b_s8b_b131k,leading team,0.8181818181818182
EVA02-B-16 merged2b_s8b_b131k,picking flower,1.0
EVA02-L-14 merged2b_s4b_b131k,baking bread,1.0
EVA02-L-14 merged2b_s4b_b131k,beading earrings,1.0
EVA02-L-14 merged2b_s4b_b131k,catching fish,1.0
EVA02-L-14 merged2b_s4b_b131k,choosing dress,0.9090909090909091
EVA02-L-14 merged2b_s4b_b131k,climbing tree,0.6153846153846154
EVA02-L-14 merged2b_s4b_b131k,drinking beer,1.0
EVA02-L-14 merged2b_s4b_b131k,holding baby,1.0
EVA02-L-14 merged2b_s4b_b131k,holding gun,1.0
EVA02-L-14 merged2b_s4b_b131k,leading team,0.8181818181818182
EVA02-L-14 merged2b_s4b_b131k,picking flower,1.0
EVA02-L-14-336 merged2b_s6b_b61k,baking bread,1.0
EVA02-L-14-336 merged2b_s6b_b61k,beading earrings,0.9090909090909091
EVA02-L-14-336 merged2b_s6b_b61k,catching fish,0.9166666666666666
EVA02-L-14-336 merged2b_s6b_b61k,choosing dress,0.9090909090909091
EVA02-L-14-336 merged2b_s6b_b61k,climbing tree,0.6923076923076923
EVA02-L-14-336 merged2b_s6b_b61k,drinking beer,1.0
EVA02-L-14-336 merged2b_s6b_b61k,holding baby,1.0
EVA02-L-14-336 merged2b_s6b_b61k,holding gun,1.0
EVA02-L-14-336 merged2b_s6b_b61k,leading team,0.9090909090909091
EVA02-L-14-336 merged2b_s6b_b61k,picking flower,1.0
RN50x64 openai,baking bread,1.0
RN50x64 openai,beading earrings,0.9090909090909091
RN50x64 openai,catching fish,1.0
RN50x64 openai,choosing dress,1.0
RN50x64 openai,climbing tree,1.0
RN50x64 openai,drinking beer,1.0
RN50x64 openai,holding baby,0.9090909090909091
RN50x64 openai,holding gun,0.9
RN50x64 openai,leading team,0.8181818181818182
RN50x64 openai,picking flower,0.9230769230769231
ViT-B-16 openai,baking bread,1.0
ViT-B-16 openai,beading earrings,0.9090909090909091
ViT-B-16 openai,catching fish,0.9166666666666666
ViT-B-16 openai,choosing dress,0.9090909090909091
ViT-B-16 openai,climbing tree,0.9230769230769231
ViT-B-16 openai,drinking beer,1.0
ViT-B-16 openai,holding baby,0.7272727272727273
ViT-B-16 openai,holding gun,0.9
ViT-B-16 openai,leading team,0.7272727272727273
ViT-B-16 openai,picking flower,0.9230769230769231
ViT-B-32 laion2b_s34b_b79k,baking bread,1.0
ViT-B-32 laion2b_s34b_b79k,beading earrings,0.9090909090909091
ViT-B-32 laion2b_s34b_b79k,catching fish,1.0
ViT-B-32 laion2b_s34b_b79k,choosing dress,0.9090909090909091
ViT-B-32 laion2b_s34b_b79k,climbing tree,0.8461538461538461
ViT-B-32 laion2b_s34b_b79k,drinking beer,1.0
ViT-B-32 laion2b_s34b_b79k,holding baby,0.9090909090909091
ViT-B-32 laion2b_s34b_b79k,holding gun,0.7
ViT-B-32 laion2b_s34b_b79k,leading team,0.8181818181818182
ViT-B-32 laion2b_s34b_b79k,picking flower,0.9230769230769231
ViT-B-32 laion400m_e31,baking bread,1.0
ViT-B-32 laion400m_e31,beading earrings,0.8181818181818182
ViT-B-32 laion400m_e31,catching fish,0.8333333333333334
ViT-B-32 laion400m_e31,choosing dress,1.0
ViT-B-32 laion400m_e31,climbing tree,0.6153846153846154
ViT-B-32 laion400m_e31,drinking beer,1.0
ViT-B-32 laion400m_e31,holding baby,0.9090909090909091
ViT-B-32 laion400m_e31,holding gun,0.6
ViT-B-32 laion400m_e31,leading team,0.9090909090909091
ViT-B-32 laion400m_e31,picking flower,1.0
ViT-B-32 negCLIP.pt,baking bread,1.0
ViT-B-32 negCLIP.pt,beading earrings,0.9090909090909091
ViT-B-32 negCLIP.pt,catching fish,0.9166666666666666
ViT-B-32 negCLIP.pt,choosing dress,1.0
ViT-B-32 negCLIP.pt,climbing tree,0.9230769230769231
ViT-B-32 negCLIP.pt,drinking beer,1.0
ViT-B-32 negCLIP.pt,holding baby,1.0
ViT-B-32 negCLIP.pt,holding gun,1.0
ViT-B-32 negCLIP.pt,leading team,0.9090909090909091
ViT-B-32 negCLIP.pt,picking flower,1.0
ViT-B-32 openai,baking bread,1.0
ViT-B-32 openai,beading earrings,0.8181818181818182
ViT-B-32 openai,catching fish,0.9166666666666666
ViT-B-32 openai,choosing dress,0.9090909090909091
ViT-B-32 openai,climbing tree,0.7692307692307693
ViT-B-32 openai,drinking beer,1.0
ViT-B-32 openai,holding baby,1.0
ViT-B-32 openai,holding gun,0.9
ViT-B-32 openai,leading team,0.8181818181818182
ViT-B-32 openai,picking flower,0.9230769230769231
ViT-H-14 laion2b_s32b_b79k,baking bread,1.0
ViT-H-14 laion2b_s32b_b79k,beading earrings,1.0
ViT-H-14 laion2b_s32b_b79k,catching fish,1.0
ViT-H-14 laion2b_s32b_b79k,choosing dress,0.9090909090909091
ViT-H-14 laion2b_s32b_b79k,climbing tree,0.9230769230769231
ViT-H-14 laion2b_s32b_b79k,drinking beer,1.0
ViT-H-14 laion2b_s32b_b79k,holding baby,1.0
ViT-H-14 laion2b_s32b_b79k,holding gun,1.0
ViT-H-14 laion2b_s32b_b79k,leading team,0.8181818181818182
ViT-H-14 laion2b_s32b_b79k,picking flower,1.0
ViT-L-14 laion2b_s32b_b82k,baking bread,1.0
ViT-L-14 laion2b_s32b_b82k,beading earrings,0.9090909090909091
ViT-L-14 laion2b_s32b_b82k,catching fish,1.0
ViT-L-14 laion2b_s32b_b82k,choosing dress,1.0
ViT-L-14 laion2b_s32b_b82k,climbing tree,0.6923076923076923
ViT-L-14 laion2b_s32b_b82k,drinking beer,1.0
ViT-L-14 laion2b_s32b_b82k,holding baby,0.9090909090909091
ViT-L-14 laion2b_s32b_b82k,holding gun,1.0
ViT-L-14 laion2b_s32b_b82k,leading team,0.7272727272727273
ViT-L-14 laion2b_s32b_b82k,picking flower,0.9230769230769231
ViT-L-14 openai,baking bread,1.0
ViT-L-14 openai,beading earrings,0.9090909090909091
ViT-L-14 openai,catching fish,1.0
ViT-L-14 openai,choosing dress,0.9090909090909091
ViT-L-14 openai,climbing tree,0.8461538461538461
ViT-L-14 openai,drinking beer,1.0
ViT-L-14 openai,holding baby,0.7272727272727273
ViT-L-14 openai,holding gun,1.0
ViT-L-14 openai,leading team,0.8181818181818182
ViT-L-14 openai,picking flower,0.9230769230769231
ViT-L-14-336 openai,baking bread,1.0
ViT-L-14-336 openai,beading earrings,0.6363636363636364
ViT-L-14-336 openai,catching fish,1.0
ViT-L-14-336 openai,choosing dress,0.9090909090909091
ViT-L-14-336 openai,climbing tree,0.7692307692307693
ViT-L-14-336 openai,drinking beer,1.0
ViT-L-14-336 openai,holding baby,0.7272727272727273
