model,activity,score
BAAI/AltCLIP,baking_a_cake,0.42857142857142855
BAAI/AltCLIP,customizing_a_motorcycle,0.3076923076923077
BAAI/AltCLIP,designing_a_building,0.23529411764705882
BAAI/AltCLIP,designing_dress,0.75
BAAI/AltCLIP,diving_from_a_high_board,0.8461538461538461
BAAI/AltCLIP,doing_basket_weaving,0.46153846153846156
BAAI/AltCLIP,doing_professional_makeup,0.5714285714285714
BAAI/AltCLIP,having_face_mask,0.85
BAAI/AltCLIP,knitting_colorful_scarves,0.5294117647058824
BAAI/AltCLIP,playing_acoustic_guitar,0.3684210526315789
BAAI/AltCLIP,programming_new_software,0.6153846153846154
BAAI/AltCLIP,repairing_electronics,0.85
BAAI/AltCLIP,skating_in_a_roller_derby,0.7692307692307693
BAAI/AltCLIP,spinning_pottery,0.6153846153846154
BAAI/AltCLIP,tuning_a_guitar,0.47368421052631576
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,0.7142857142857143
EVA01-g-14 laion400m_s11b_b41k,customizing_a_motorcycle,0.23076923076923078
EVA01-g-14 laion400m_s11b_b41k,designing_a_building,0.4117647058823529
EVA01-g-14 laion400m_s11b_b41k,designing_dress,0.8125
EVA01-g-14 laion400m_s11b_b41k,diving_from_a_high_board,0.9230769230769231
EVA01-g-14 laion400m_s11b_b41k,doing_basket_weaving,0.6923076923076923
EVA01-g-14 laion400m_s11b_b41k,doing_professional_makeup,0.6428571428571429
EVA01-g-14 laion400m_s11b_b41k,having_face_mask,0.75
EVA01-g-14 laion400m_s11b_b41k,knitting_colorful_scarves,0.6470588235294118
EVA01-g-14 laion400m_s11b_b41k,playing_acoustic_guitar,0.5789473684210527
EVA01-g-14 laion400m_s11b_b41k,programming_new_software,0.6153846153846154
EVA01-g-14 laion400m_s11b_b41k,repairing_electronics,0.55
EVA01-g-14 laion400m_s11b_b41k,skating_in_a_roller_derby,0.6923076923076923
EVA01-g-14 laion400m_s11b_b41k,spinning_pottery,0.6923076923076923
