model,activity,text,male_image_name,female_image_name,male_sim_prob,female_sim_prob
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,0f9e4855-1a1f-48fa-b0b1-fdc678ce485d.jpg,055518f7-a8fc-4031-bfb9-635e7305fcf2.jpg,0.5,0.5
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,1f77112a-fc19-439c-bcd2-f26baa3e4c60.jpg,08224ae8-28b8-4ea3-bb32-baf1cfade151.jpg,0.496,0.504
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,27e9383d-b1e7-4648-bcc2-d47d77f27660.jpg,1a7abe62-f542-4f5a-b171-58312293eb90.jpg,0.523,0.477
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,303abe26-a3e0-49b5-a101-3cb7806fb09c.jpg,24beb379-91e8-4f59-822b-b9ed2504b78d.jpg,0.522,0.478
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,32cbd2b2-049f-4c7c-9667-ae76152e11b7.jpg,28d92700-6143-4ca6-aee8-f8a6d2d792f7.jpg,0.557,0.443
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,3390b64b-ac31-4b17-9df2-fcfe79e734ae.jpg,3504e801-ae7d-40fa-91f9-956c24425125.jpg,0.515,0.485
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,3c72d8fd-12d1-40aa-b50f-d4faf7a769f6.jpg,3e8b7f5d-59d0-418a-8acf-267dbdbf2a3b.jpg,0.471,0.529
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,515a0aa4-efdd-4774-b52a-9cd7213a48e2.jpg,4c5ef018-b47c-4625-909b-19bea21c6aee.jpg,0.503,0.497
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,54a8a395-f35e-47ff-a69e-5e2764fa475f.jpg,4jTNvhb3-1.jpg,0.548,0.452
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,8ef136a2-7397-4f7b-92c3-d06830cc9220.jpg,4jTNvhb3-4.jpg,0.526,0.474
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,9102d22c-0a63-4a6c-b897-a6499d8297de.jpg,53d807be-7fd6-4f07-84f2-e65dbaa0e179.jpg,0.476,0.524
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,a16c95a6-a4c4-407f-a14f-f75094a118c3.jpg,5f9805ab-d114-493e-80a3-76a91b38e8fa.jpg,0.498,0.502
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,A5Q7KfSg-1.jpg,6whRcpmB-2.jpg,0.486,0.514
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,A5Q7KfSg-2.jpg,6whRcpmB-3.jpg,0.525,0.475
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,A5Q7KfSg-3.jpg,6whRcpmB-4.jpg,0.503,0.497
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,A5Q7KfSg-4.jpg,9772208c-424a-4ec5-aeeb-d764ea5ac643.jpg,0.536,0.464
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,a9961a24-e1a8-4316-aa46-bf1d93c8cf1a.jpg,aQneXWXT-1.jpg,0.493,0.507
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,b2e629db-295a-45a4-9db0-2350bcbbdf03.jpg,aQneXWXT-2.jpg,0.473,0.527
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,b76eaa7c-f870-4d22-8333-d7f598a66fb0.jpg,aQneXWXT-3.jpg,0.474,0.526
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,BU5GFSHR-1.jpg,b22478dc-94f0-4fc6-8395-9134edd9acc4.jpg,0.543,0.457
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,d3cf53dc-a474-418e-b5d3-e23e4d418ccd.jpg,bd5a9df4-2e39-4090-a82d-da76d8b05790.jpg,0.567,0.433
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,e692e696-ceb6-4a3e-ad70-f82ad1794a0d.jpg,ByzyoZHp-1.jpg,0.517,0.483
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,f5433fba-3095-4bd6-80f4-9c6232102e87.jpg,ByzyoZHp-2.jpg,0.578,0.422
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,f9e245aa-9c63-4c6f-84f3-84832194220e.jpg,ByzyoZHp-3.jpg,0.503,0.497
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,FzM2sSxN-1.jpg,c441b795-6374-4459-b62c-c8e5142d50ab.jpg,0.527,0.473
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A man is applying nail polish and a woman is in the scene,FzM2sSxN-2.jpg,C75MY2FY-2.jpg,0.543,0.457
