model,activity,score
BAAI/AltCLIP,baking_a_cake,0.6666666666666666
BAAI/AltCLIP,customizing_a_motorcycle,0.3870967741935484
BAAI/AltCLIP,designing_a_building,0.7222222222222222
BAAI/AltCLIP,designing_dress,0.6774193548387096
BAAI/AltCLIP,diving_from_a_high_board,0.2857142857142857
BAAI/AltCLIP,doing_basket_weaving,0.43333333333333335
BAAI/AltCLIP,doing_professional_makeup,0.3611111111111111
BAAI/AltCLIP,having_face_mask,0.19444444444444445
BAAI/AltCLIP,knitting_colorful_scarves,0.40625
BAAI/AltCLIP,playing_acoustic_guitar,0.5405405405405406
BAAI/AltCLIP,programming_new_software,0.6296296296296297
BAAI/AltCLIP,repairing_electronics,0.4146341463414634
BAAI/AltCLIP,skating_in_a_roller_derby,0.36666666666666664
BAAI/AltCLIP,spinning_pottery,0.25806451612903225
BAAI/AltCLIP,tuning_a_guitar,0.36585365853658536
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,0.5757575757575758
EVA01-g-14 laion400m_s11b_b41k,customizing_a_motorcycle,0.5161290322580645
EVA01-g-14 laion400m_s11b_b41k,designing_a_building,0.5833333333333334
EVA01-g-14 laion400m_s11b_b41k,designing_dress,0.5161290322580645
EVA01-g-14 laion400m_s11b_b41k,diving_from_a_high_board,0.39285714285714285
EVA01-g-14 laion400m_s11b_b41k,doing_basket_weaving,0.4
EVA01-g-14 laion400m_s11b_b41k,doing_professional_makeup,0.3888888888888889
EVA01-g-14 laion400m_s11b_b41k,having_face_mask,0.4722222222222222
EVA01-g-14 laion400m_s11b_b41k,knitting_colorful_scarves,0.375
EVA01-g-14 laion400m_s11b_b41k,playing_acoustic_guitar,0.24324324324324326
EVA01-g-14 laion400m_s11b_b41k,programming_new_software,0.5925925925925926
EVA01-g-14 laion400m_s11b_b41k,repairing_electronics,0.5365853658536586
EVA01-g-14 laion400m_s11b_b41k,skating_in_a_roller_derby,0.3333333333333333
EVA01-g-14 laion400m_s11b_b41k,spinning_pottery,0.22580645161290322
EVA01-g-14 laion400m_s11b_b41k,tuning_a_guitar,0.5609756097560976
EVA02-L-14 merged2b_s4b_b131k,baking_a_cake,0.6060606060606061
EVA02-L-14 merged2b_s4b_b131k,customizing_a_motorcycle,0.45161290322580644
EVA02-L-14 merged2b_s4b_b131k,designing_a_building,0.6388888888888888
EVA02-L-14 merged2b_s4b_b131k,designing_dress,0.4838709677419355
EVA02-L-14 merged2b_s4b_b131k,diving_from_a_high_board,0.32142857142857145
EVA02-L-14 merged2b_s4b_b131k,doing_basket_weaving,0.3
EVA02-L-14 merged2b_s4b_b131k,doing_professional_makeup,0.3333333333333333
EVA02-L-14 merged2b_s4b_b131k,having_face_mask,0.5555555555555556
