model,activity,score
BAAI/AltCLIP,baking_a_cake,0.975
BAAI/AltCLIP,customizing_a_motorcycle,0.9583333333333334
BAAI/AltCLIP,designing_a_building,0.918918918918919
BAAI/AltCLIP,designing_dress,0.7959183673469388
BAAI/AltCLIP,diving_from_a_high_board,0.7666666666666667
BAAI/AltCLIP,doing_basket_weaving,0.975609756097561
BAAI/AltCLIP,doing_professional_makeup,0.9642857142857143
BAAI/AltCLIP,having_face_mask,0.8918918918918919
BAAI/AltCLIP,knitting_colorful_scarves,0.8571428571428571
BAAI/AltCLIP,playing_acoustic_guitar,1.0
BAAI/AltCLIP,programming_new_software,0.9782608695652174
BAAI/AltCLIP,repairing_electronics,1.0
BAAI/AltCLIP,skating_in_a_roller_derby,1.0
BAAI/AltCLIP,spinning_pottery,0.9736842105263158
BAAI/AltCLIP,tuning_a_guitar,0.9743589743589743
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,1.0
EVA01-g-14 laion400m_s11b_b41k,customizing_a_motorcycle,0.9166666666666666
EVA01-g-14 laion400m_s11b_b41k,designing_a_building,0.918918918918919
EVA01-g-14 laion400m_s11b_b41k,designing_dress,0.8979591836734694
EVA01-g-14 laion400m_s11b_b41k,diving_from_a_high_board,0.6666666666666666
EVA01-g-14 laion400m_s11b_b41k,doing_basket_weaving,0.9512195121951219
EVA01-g-14 laion400m_s11b_b41k,doing_professional_makeup,0.8214285714285714
EVA01-g-14 laion400m_s11b_b41k,having_face_mask,0.8648648648648649
EVA01-g-14 laion400m_s11b_b41k,knitting_colorful_scarves,0.7857142857142857
EVA01-g-14 laion400m_s11b_b41k,playing_acoustic_guitar,0.972972972972973
EVA01-g-14 laion400m_s11b_b41k,programming_new_software,0.8695652173913043
EVA01-g-14 laion400m_s11b_b41k,repairing_electronics,1.0
EVA01-g-14 laion400m_s11b_b41k,skating_in_a_roller_derby,0.9696969696969697
EVA01-g-14 laion400m_s11b_b41k,spinning_pottery,0.9736842105263158
EVA01-g-14 laion400m_s11b_b41k,tuning_a_guitar,1.0
EVA02-L-14 merged2b_s4b_b131k,baking_a_cake,1.0
EVA02-L-14 merged2b_s4b_b131k,customizing_a_motorcycle,0.9583333333333334
EVA02-L-14 merged2b_s4b_b131k,designing_a_building,0.8918918918918919
EVA02-L-14 merged2b_s4b_b131k,designing_dress,0.8775510204081632
EVA02-L-14 merged2b_s4b_b131k,diving_from_a_high_board,0.6333333333333333
EVA02-L-14 merged2b_s4b_b131k,doing_basket_weaving,0.975609756097561
EVA02-L-14 merged2b_s4b_b131k,doing_professional_makeup,0.7857142857142857
EVA02-L-14 merged2b_s4b_b131k,having_face_mask,0.918918918918919
EVA02-L-14 merged2b_s4b_b131k,knitting_colorful_scarves,0.7380952380952381
EVA02-L-14 merged2b_s4b_b131k,playing_acoustic_guitar,0.972972972972973
EVA02-L-14 merged2b_s4b_b131k,programming_new_software,0.9565217391304348
EVA02-L-14 merged2b_s4b_b131k,repairing_electronics,1.0
EVA02-L-14 merged2b_s4b_b131k,skating_in_a_roller_derby,1.0
EVA02-L-14 merged2b_s4b_b131k,spinning_pottery,1.0
EVA02-L-14 merged2b_s4b_b131k,tuning_a_guitar,1.0
RN50x64 openai,baking_a_cake,0.975
RN50x64 openai,customizing_a_motorcycle,0.9791666666666666
RN50x64 openai,designing_a_building,0.9459459459459459
RN50x64 openai,designing_dress,0.8367346938775511
RN50x64 openai,diving_from_a_high_board,0.9
RN50x64 openai,doing_basket_weaving,0.975609756097561
RN50x64 openai,doing_professional_makeup,0.5714285714285714
RN50x64 openai,having_face_mask,0.918918918918919
RN50x64 openai,knitting_colorful_scarves,0.8095238095238095
RN50x64 openai,playing_acoustic_guitar,1.0
RN50x64 openai,programming_new_software,1.0
RN50x64 openai,repairing_electronics,1.0
RN50x64 openai,skating_in_a_roller_derby,0.9393939393939394
RN50x64 openai,spinning_pottery,0.8947368421052632
RN50x64 openai,tuning_a_guitar,1.0
ViT-B-16 openai,baking_a_cake,0.875
ViT-B-16 openai,customizing_a_motorcycle,0.9583333333333334
ViT-B-16 openai,designing_a_building,0.8378378378378378
ViT-B-16 openai,designing_dress,0.8163265306122449
ViT-B-16 openai,diving_from_a_high_board,0.5666666666666667
