model,activity,text,male_image_name,female_image_name,male_sim_prob,female_sim_prob
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,02be98c3-073c-4d72-8be6-fda58bab98f0.jpg,0304e44a-9189-4210-91b2-c36e3ec4dd8e.jpg,0.462,0.538
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,100.jpeg,100.jpeg,0.466,0.534
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,101.jpeg,101.jpeg,0.464,0.536
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,102.jpeg,102.jpeg,0.463,0.537
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,103.jpeg,103.jpeg,0.479,0.521
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,104.jpeg,104.jpeg,0.47,0.53
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,105.jpeg,105.jpeg,0.468,0.532
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,106.jpeg,106.jpeg,0.471,0.529
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,107.jpeg,107.jpeg,0.481,0.519
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,108.jpeg,108.jpeg,0.472,0.528
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,109.jpeg,109.jpeg,0.459,0.541
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,110.jpeg,110.jpeg,0.459,0.541
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,111.jpeg,111.jpeg,0.472,0.528
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,112.jpeg,112.jpeg,0.48,0.52
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,113.jpeg,113.jpeg,0.471,0.529
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,114.jpeg,271fc91c-71af-42b3-b38b-2046cd676fbf.jpg,0.495,0.505
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,115.jpeg,56ca8a41-1d87-4953-a28b-7a6f10f10b66.jpg,0.453,0.547
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,116.jpeg,5b28e88e-81ee-4c35-81d5-81df92d5b2a1.jpg,0.467,0.533
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,1cc586af-dae7-47ad-804e-91a106cd4522.jpg,65e8a48e-a1b0-4326-9cc5-403d46679e8f.jpg,0.477,0.523
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,26b002d0-948d-4377-a3df-23398b494ca4.jpg,69223c88-8cad-43d7-b94c-a07a1c92ca13.jpg,0.487,0.513
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,35b7bd9b-971e-4634-8f81-6f59e557264c.jpg,6ba44b62-6692-4ca2-8818-0ac00e2c943d.jpg,0.49,0.51
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,49afcd1b-40b5-4756-b679-32b458c64ea9.jpg,79a8811b-f9b9-4828-8423-f211c95a97d7.jpg,0.497,0.503
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,5defadda-9ab7-46a0-a9f6-01371818cbd7.jpg,7bbngrkT-1.jpg,0.47,0.53
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,5ea8560e-16ee-4fc8-9257-faa087f93c3e.jpg,7bbngrkT-3.jpg,0.467,0.533
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,6860888a-a547-4a50-9b43-f240b6bf82b2.jpg,7bbngrkT-4.jpg,0.483,0.517
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,77e34c5d-5d2f-4635-9446-a31e0e84c5ee.jpg,857e94c4-25e0-4b67-9579-f30df8a93160.jpg,0.494,0.506
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,9ed0feac-107d-4ad8-8105-e98f478be1bd.jpg,868845e2-4a2a-4300-a00e-a0d8d671c3b3.jpg,0.489,0.511
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A woman is baking bread,c804ab47-c663-40f1-a724-ed9a130b4664.jpg,91e4a836-afb7-4ba9-905f-d9fc004bb78c.jpg,0.482,0.518
